measurement_time,scheduled_time,measurement_duration,module_id,v,i,g
2024-12-20T16:06:40.054645-07:00,2024-12-20T16:06:40-07:00,,P-0000-01,"[-0.011613, 0.161007, 0.335239, 0.506862, 0.679022, 0.848225, 1.016, 1.18619, 1.35824, 1.53091, 1.70015, 1.87017, 2.03594, 2.2007, 2.36919, 2.53864, 2.70611, 2.87272, 3.03839, 3.19872, 3.35921, 3.52238, 3.68698, 3.8501, 4.00954, 4.16647, 4.32076, 4.47611, 4.63263, 4.78845, 4.94518, 5.09582, 5.24534, 5.39154, 5.53765, 5.68576, 5.83194, 5.97909, 6.1197, 6.25681, 6.39372, 6.53038, 6.66776, 6.8051, 6.93735, 7.06877, 7.19275, 7.31701, 7.44231, 7.56768, 7.69143, 7.81093, 7.92717, 8.03829, 8.15073, 8.26326, 8.37594, 8.48493, 8.59067, 8.68901, 8.78615, 8.88477, 8.98154, 9.08061, 9.17317, 9.26045, 9.34462, 9.42476, 9.50947, 9.59163, 9.67228, 9.74765, 9.81576, 9.8816, 9.94604, 10.0138, 10.0803, 10.1419, 10.1969, 10.2464, 10.2916, 10.3408, 10.39, 10.436, 10.4759, 10.5064, 10.5344, 10.5604, 10.5879, 10.6153, 10.6358, 10.6474, 10.6534, 10.6559, 10.6601, 10.6683, 10.6765, 10.6774, 10.6733, 10.6709]","[0.00820649, 0.00818445, 0.00814647, 0.00808907, 0.00802518, 0.00796425, 0.00792188, 0.00789741, 0.00786992, 0.00782415, 0.00776593, 0.00769895, 0.00763615, 0.00760028, 0.00757419, 0.00754254, 0.0074875, 0.00742255, 0.00735175, 0.00729135, 0.00725779, 0.00722924, 0.0071874, 0.0071284, 0.0070581, 0.00698775, 0.0069259, 0.00689077, 0.00686232, 0.00680929, 0.00674034, 0.00666709, 0.00658989, 0.00653312, 0.00649558, 0.00645629, 0.00639448, 0.00631789, 0.0062341, 0.0061541, 0.00609478, 0.00604866, 0.00599409, 0.00591459, 0.0058244, 0.00572478, 0.00563197, 0.00556049, 0.00548899, 0.0054028, 0.00529198, 0.00516884, 0.00503989, 0.00492165, 0.0048167, 0.00470648, 0.00457874, 0.00443447, 0.00428079, 0.00412471, 0.00398752, 0.00385826, 0.00372083, 0.00356938, 0.00340443, 0.00323776, 0.00307905, 0.00293419, 0.00279539, 0.00264516, 0.00248857, 0.00232392, 0.0021643, 0.0020158, 0.00188008, 0.00174878, 0.00160165, 0.00146161, 0.00132205, 0.00119043, 0.00107374, 0.000958627, 0.000849449, 0.000739982, 0.000636555, 0.000543409, 0.000457668, 0.000385139, 0.000318764, 0.000261023, 0.000212654, 0.000174096, 0.000146355, 0.000127154, 0.00011222, 0.000103851, 9.91333e-05, 9.63231e-05, 9.67439e-05, 9.60387e-05]",
2024-12-20T16:06:50.060091-07:00,2024-12-20T16:06:50-07:00,,P-0000-01,"[-0.00988593, 0.159953, 0.331458, 0.504722, 0.677608, 0.848775, 1.01856, 1.18577, 1.35457, 1.52531, 1.69799, 1.86787, 2.03693, 2.20246, 2.36656, 2.53336, 2.70188, 2.86796, 3.03493, 3.19958, 3.35827, 3.51939, 3.67898, 3.84167, 4.00532, 4.16321, 4.32117, 4.47521, 4.62508, 4.78074, 4.9372, 5.08978, 5.24136, 5.38924, 5.53262, 5.67661, 5.82309, 5.97124, 6.11455, 6.2545, 6.39056, 6.52487, 6.65994, 6.79517, 6.93032, 7.06105, 7.18926, 7.31237, 7.43405, 7.55875, 7.68207, 7.80239, 7.9217, 8.03595, 8.14596, 8.25268, 8.36339, 8.47442, 8.5807, 8.68425, 8.78395, 8.8759, 8.96986, 9.06829, 9.16193, 9.25218, 9.34095, 9.42086, 9.49785, 9.57727, 9.65808, 9.73733, 9.8099, 9.87685, 9.93894, 10.0013, 10.0667, 10.1291, 10.1888, 10.241, 10.2866, 10.3292, 10.374, 10.4219, 10.4644, 10.5001, 10.5301, 10.5533, 10.5749, 10.5981, 10.6221, 10.6384, 10.6486, 10.6528, 10.6523, 10.6523, 10.6603, 10.6649, 10.667, 10.6649]","[0.00816211, 0.00813435, 0.00811476, 0.00807618, 0.00802318, 0.00796197, 0.00789908, 0.00784969, 0.00781926, 0.00780035, 0.00775496, 0.00770007, 0.00763272, 0.00756895, 0.00752365, 0.00749659, 0.00747077, 0.0074149, 0.00735324, 0.00728408, 0.00721923, 0.00717744, 0.00714921, 0.0071141, 0.00705443, 0.00698575, 0.00691238, 0.00684655, 0.00681102, 0.00677806, 0.00672957, 0.00666356, 0.00659059, 0.00651334, 0.00644672, 0.00640711, 0.00636813, 0.00631091, 0.00623528, 0.00614934, 0.0060655, 0.00599897, 0.00594841, 0.00589737, 0.00582044, 0.00572631, 0.00562507, 0.00552611, 0.00544205, 0.00536914, 0.00527991, 0.0051711, 0.00504124, 0.00491063, 0.00477888, 0.00466545, 0.00455643, 0.00442804, 0.00428279, 0.00412723, 0.00396939, 0.0038256, 0.003693, 0.00355789, 0.00340593, 0.00324468, 0.00307627, 0.0029155, 0.00276589, 0.00262841, 0.00248533, 0.00232982, 0.00216974, 0.0020112, 0.0018645, 0.00173126, 0.00159855, 0.00146569, 0.00132529, 0.00119248, 0.00106418, 0.000948279, 0.000845238, 0.000739893, 0.000640171, 0.000544283, 0.000458722, 0.000381558, 0.000316794, 0.000261492, 0.000212877, 0.000174783, 0.000144799, 0.000125237, 0.000113129, 0.000103924, 9.96609e-05, 9.79248e-05, 9.66073e-05, 9.51394e-05]",
2024-12-20T16:07:00.048470-07:00,2024-12-20T16:07:00-07:00,,P-0000-01,"[-0.00844832, 0.161358, 0.33077, 0.502246, 0.67598, 0.84803, 1.01795, 1.1862, 1.35432, 1.52297, 1.6934, 1.86508, 2.03373, 2.20177, 2.36604, 2.52908, 2.69692, 2.86461, 3.02964, 3.1944, 3.35605, 3.51719, 3.67375, 3.83514, 3.99842, 4.15736, 4.31519, 4.47172, 4.62136, 4.77459, 4.92796, 5.08328, 5.23512, 5.38365, 5.52894, 5.67076, 5.81357, 5.95953, 6.10388, 6.2463, 6.38378, 6.51844, 6.64943, 6.78384, 6.91814, 7.05163, 7.17941, 7.30745, 7.42706, 7.54795, 7.66815, 7.79154, 7.91126, 8.02599, 8.13724, 8.24404, 8.35165, 8.4589, 8.56894, 8.67182, 8.77181, 8.8665, 8.9587, 9.05354, 9.14653, 9.23935, 9.32793, 9.4107, 9.48696, 9.56505, 9.64189, 9.72136, 9.79712, 9.86667, 9.93018, 9.98784, 10.05, 10.113, 10.1729, 10.2287, 10.2763, 10.3187, 10.3611, 10.4023, 10.4468, 10.4875, 10.5171, 10.543, 10.5625, 10.5839, 10.6047, 10.624, 10.6376, 10.642, 10.6422, 10.6414, 10.6452, 10.6502, 10.6575, 10.6564]","[0.00814259, 0.00809381, 0.00806666, 0.00804909, 0.00800431, 0.00794894, 0.00788385, 0.00782009, 0.00778148, 0.00775575, 0.00773071, 0.00767869, 0.00762105, 0.00755366, 0.00749284, 0.00745348, 0.00742915, 0.00739613, 0.00733674, 0.00727398, 0.00720307, 0.00714181, 0.00710575, 0.00707969, 0.00703474, 0.00697259, 0.00690322, 0.00682704, 0.00676972, 0.00673409, 0.00669906, 0.00664979, 0.00657866, 0.00650182, 0.00642401, 0.00636799, 0.00632754, 0.00628445, 0.0062224, 0.00614161, 0.00605617, 0.00597209, 0.00591094, 0.00586084, 0.00580014, 0.00571758, 0.00561803, 0.00551347, 0.0054137, 0.00533257, 0.00525128, 0.00515364, 0.00503605, 0.00490255, 0.00476854, 0.00463924, 0.0045284, 0.00441369, 0.0042771, 0.00412779, 0.00397031, 0.00381267, 0.0036704, 0.00353722, 0.00340068, 0.00324364, 0.00307997, 0.00291366, 0.00275993, 0.00261575, 0.00247714, 0.00233457, 0.00217325, 0.00201839, 0.00186584, 0.00172552, 0.0015958, 0.00146484, 0.00133614, 0.00119861, 0.00107215, 0.000954591, 0.000845483, 0.000744985, 0.000647837, 0.000554078, 0.000466005, 0.000389142, 0.000323496, 0.000266321, 0.000219649, 0.00017909, 0.000149721, 0.000128141, 0.000115045, 0.000105231, 0.000100083, 9.63477e-05, 9.58243e-05, 9.6173e-05]",
2024-12-20T16:07:10.062144-07:00,2024-12-20T16:07:10-07:00,,P-0000-01,"[-0.00553036, 0.16234, 0.330049, 0.500742, 0.673494, 0.846346, 1.01612, 1.18663, 1.35312, 1.51991, 1.68996, 1.86092, 2.03142, 2.19835, 2.36436, 2.52723, 2.69104, 2.85837, 3.02551, 3.19042, 3.35248, 3.51316, 3.67129, 3.8305, 3.99207, 4.15026, 4.30999, 4.46654, 4.61761, 4.76718, 4.9216, 5.07472, 5.22599, 5.37757, 5.52327, 5.66479, 5.80778, 5.95088, 6.09601, 6.23715, 6.37759, 6.51138, 6.64367, 6.77382, 6.90817, 7.04115, 7.17088, 7.29777, 7.42024, 7.5373, 7.65777, 7.77892, 7.89894, 8.0142, 8.12697, 8.23583, 8.33938, 8.44701, 8.55539, 8.66119, 8.76217, 8.8587, 8.94862, 9.03944, 9.13407, 9.22561, 9.31441, 9.40011, 9.4788, 9.55307, 9.62823, 9.70773, 9.78291, 9.85358, 9.91914, 9.97829, 10.0375, 10.0975, 10.1575, 10.2152, 10.2635, 10.3091, 10.3473, 10.3881, 10.4312, 10.472, 10.5055, 10.5318, 10.5525, 10.5707, 10.5898, 10.6108, 10.6255, 10.6321, 10.6344, 10.6324, 10.6333, 10.635, 10.6449, 10.6451]","[0.0081195, 0.00806384, 0.00803164, 0.00801121, 0.00798051, 0.00792577, 0.00786752, 0.00780202, 0.00774918, 0.00771904, 0.00769489, 0.00765819, 0.00759928, 0.0075363, 0.00747117, 0.00741994, 0.00739023, 0.00736384, 0.00731902, 0.00725503, 0.00718512, 0.00711807, 0.00707033, 0.00703967, 0.00700727, 0.00695527, 0.00688428, 0.00681073, 0.0067409, 0.00669559, 0.00666534, 0.00662008, 0.00655969, 0.00648447, 0.00640659, 0.00633394, 0.00628954, 0.00625254, 0.00619706, 0.00612521, 0.00603764, 0.00595098, 0.00587918, 0.00582475, 0.00577267, 0.00569414, 0.00560577, 0.00549954, 0.00539172, 0.00530348, 0.00522084, 0.00513269, 0.00501835, 0.0048942, 0.00475645, 0.00462153, 0.00450586, 0.00438843, 0.00426496, 0.0041183, 0.00396405, 0.00380389, 0.00365562, 0.00352145, 0.00338491, 0.00323935, 0.00307809, 0.00291216, 0.00275101, 0.00260176, 0.00246771, 0.00232593, 0.00217638, 0.00201756, 0.00186424, 0.00172262, 0.00159033, 0.00146575, 0.001336, 0.00120485, 0.00107501, 0.000953677, 0.000847188, 0.000745659, 0.000651074, 0.000557755, 0.000470939, 0.000393965, 0.00032657, 0.000269823, 0.000221882, 0.000183032, 0.000151343, 0.000130711, 0.00011589, 0.00010569, 9.99966e-05, 9.73399e-05, 9.6562e-05, 9.46254e-05]",
2024-12-20T16:07:20.059357-07:00,2024-12-20T16:07:20-07:00,,P-0000-01,"[-0.00696797, 0.164584, 0.333023, 0.500282, 0.670771, 0.842361, 1.01351, 1.1853, 1.35442, 1.52138, 1.68645, 1.85564, 2.02609, 2.19457, 2.36325, 2.52863, 2.69034, 2.85185, 3.01757, 3.18383, 3.34815, 3.51021, 3.67025, 3.82676, 3.98262, 4.14294, 4.3019, 4.46044, 4.61514, 4.76632, 4.91598, 5.06557, 5.21722, 5.36574, 5.51464, 5.66123, 5.80137, 5.94199, 6.08314, 6.22557, 6.36677, 6.50575, 6.63881, 6.76741, 6.89599, 7.0282, 7.15744, 7.28759, 7.41151, 7.5318, 7.6495, 7.76415, 7.88387, 8.00005, 8.11576, 8.22762, 8.33307, 8.43645, 8.53893, 8.64444, 8.7464, 8.84708, 8.94116, 9.03179, 9.11958, 9.20887, 9.29829, 9.38606, 9.4668, 9.54661, 9.6183, 9.68998, 9.76373, 9.83692, 9.90719, 9.97097, 10.0261, 10.0824, 10.1379, 10.195, 10.2503, 10.2988, 10.3403, 10.3766, 10.4123, 10.4515, 10.4884, 10.5221, 10.546, 10.5635, 10.5764, 10.5899, 10.6073, 10.6204, 10.6253, 10.6282, 10.6263, 10.6219, 10.6241, 10.6294]","[0.00811889, 0.00805277, 0.00799524, 0.00795623, 0.00792915, 0.00790547, 0.00785685, 0.00780057, 0.00773805, 0.00767634, 0.00763963, 0.00761343, 0.007582, 0.00752981, 0.00746936, 0.00739934, 0.00733943, 0.00730704, 0.00728287, 0.00724349, 0.0071827, 0.00711503, 0.0070437, 0.00698495, 0.0069537, 0.00692479, 0.00687566, 0.00681114, 0.0067377, 0.00666374, 0.00660956, 0.00657442, 0.00653869, 0.00648353, 0.00640564, 0.00632736, 0.00625201, 0.00619654, 0.00615559, 0.00610515, 0.00603937, 0.00595427, 0.00586294, 0.00578094, 0.00571851, 0.00566325, 0.00559508, 0.00550216, 0.00539681, 0.0052836, 0.00517728, 0.00509122, 0.00500316, 0.00489134, 0.00476345, 0.00462388, 0.00448269, 0.0043511, 0.00423279, 0.00411121, 0.00396667, 0.00381328, 0.00365324, 0.00349785, 0.00335796, 0.00322267, 0.00308189, 0.00292162, 0.00276132, 0.00259938, 0.00244612, 0.00231063, 0.00217397, 0.00203028, 0.00187685, 0.00172907, 0.00158609, 0.00145476, 0.00133371, 0.0012116, 0.00108866, 0.000964241, 0.000851412, 0.000748069, 0.000652295, 0.000564729, 0.000481868, 0.000401944, 0.000333094, 0.000274274, 0.000225187, 0.000186418, 0.000156447, 0.000134112, 0.000117831, 0.000108065, 0.000102021, 9.81865e-05, 9.53385e-05, 9.52706e-05]",
2024-12-20T16:07:30.048850-07:00,2024-12-20T16:07:30-07:00,,P-0000-01,"[-0.00859065, 0.163236, 0.334931, 0.503138, 0.671734, 0.83903, 1.01026, 1.18297, 1.35308, 1.52307, 1.68958, 1.85537, 2.02226, 2.1899, 2.35896, 2.52729, 2.69264, 2.85447, 3.01659, 3.17777, 3.34331, 3.50743, 3.66778, 3.82889, 3.98456, 4.13787, 4.29634, 4.45352, 4.61123, 4.76379, 4.91729, 5.06373, 5.21002, 5.36053, 5.50999, 5.65779, 5.8027, 5.94409, 6.07937, 6.2176, 6.35722, 6.49842, 6.63457, 6.76858, 6.89594, 7.02274, 7.14974, 7.27674, 7.40538, 7.52882, 7.64957, 7.76315, 7.87838, 7.99365, 8.10753, 8.22173, 8.33075, 8.43509, 8.53726, 8.63525, 8.73724, 8.83815, 8.93633, 9.02926, 9.11865, 9.20299, 9.28737, 9.37631, 9.46117, 9.54222, 9.61816, 9.68739, 9.75455, 9.82582, 9.89633, 9.96517, 10.0266, 10.0825, 10.1324, 10.1825, 10.2382, 10.2903, 10.3378, 10.3769, 10.4104, 10.4406, 10.4756, 10.5084, 10.5374, 10.5601, 10.5736, 10.583, 10.5936, 10.6026, 10.6162, 10.6197, 10.6198, 10.6185, 10.6139, 10.614]","[0.00810191, 0.00805098, 0.00799177, 0.00792892, 0.00787633, 0.00785033, 0.00782771, 0.00778805, 0.00773369, 0.007667, 0.00760494, 0.00755859, 0.00752946, 0.00750413, 0.00746012, 0.0073971, 0.00732902, 0.0072674, 0.00722132, 0.00719297, 0.00716166, 0.00710893, 0.00704287, 0.00697008, 0.00690416, 0.00686438, 0.00683622, 0.00679418, 0.00673446, 0.00666222, 0.00658376, 0.00652143, 0.00647845, 0.0064481, 0.00639387, 0.00632831, 0.00624705, 0.00616604, 0.00609881, 0.00605432, 0.00601288, 0.0059428, 0.00586235, 0.0057701, 0.00568113, 0.00560832, 0.0055464, 0.00548281, 0.00538626, 0.00528059, 0.00516415, 0.00504806, 0.00494947, 0.00485411, 0.0047487, 0.00461648, 0.00447842, 0.0043307, 0.00418958, 0.00406859, 0.00394354, 0.00380669, 0.00364973, 0.00349041, 0.00332877, 0.00318248, 0.00304798, 0.0029079, 0.00275809, 0.00259499, 0.00243351, 0.00228138, 0.00214263, 0.00200837, 0.00186849, 0.00172296, 0.00157508, 0.00143594, 0.00130942, 0.00119124, 0.0010769, 0.000958515, 0.000844222, 0.000733882, 0.000637046, 0.000548555, 0.000469522, 0.000395048, 0.000325624, 0.000266538, 0.000218516, 0.000181259, 0.000150545, 0.000130178, 0.000114526, 0.000106281, 0.000100824, 9.78968e-05, 9.61136e-05, 9.45017e-05]",
2024-12-20T16:07:40.048256-07:00,2024-12-20T16:07:40-07:00,,P-0000-01,"[-0.0114801, 0.16095, 0.333208, 0.503674, 0.674865, 0.842636, 1.01013, 1.17957, 1.35099, 1.52071, 1.69023, 1.85847, 2.02394, 2.18719, 2.35514, 2.52366, 2.69015, 2.85565, 3.01851, 3.17727, 3.33863, 3.50266, 3.66456, 3.82691, 3.98571, 4.14087, 4.29415, 4.44963, 4.60562, 4.76195, 4.9147, 5.06534, 5.21181, 5.35718, 5.50473, 5.65246, 5.79837, 5.94218, 6.08157, 6.21952, 6.35299, 6.49206, 6.62987, 6.76511, 6.89746, 7.02391, 7.14826, 7.27251, 7.39958, 7.5251, 7.64661, 7.76424, 7.87803, 7.98856, 8.10167, 8.21539, 8.32656, 8.43376, 8.53552, 8.63469, 8.73197, 8.83275, 8.93123, 9.02598, 9.11782, 9.20245, 9.28584, 9.36917, 9.45424, 9.53809, 9.61456, 9.68545, 9.75291, 9.82009, 9.88877, 9.95819, 10.0219, 10.0794, 10.1313, 10.1796, 10.2309, 10.2824, 10.3314, 10.3729, 10.409, 10.4373, 10.4683, 10.4998, 10.5301, 10.5532, 10.5697, 10.5776, 10.5833, 10.5918, 10.6015, 10.6086, 10.6115, 10.6081, 10.6071, 10.6041]","[0.008051, 0.00802749, 0.00798537, 0.00792944, 0.0078671, 0.00780457, 0.00776849, 0.00774479, 0.00771648, 0.00766729, 0.00760511, 0.00754197, 0.00747943, 0.0074473, 0.0074254, 0.00738539, 0.00733301, 0.00726288, 0.00719307, 0.00713956, 0.00710779, 0.00707939, 0.00703142, 0.00697009, 0.00689836, 0.0068268, 0.00677906, 0.00674407, 0.00671265, 0.00665291, 0.00658435, 0.00650668, 0.00643404, 0.00638897, 0.0063537, 0.00630738, 0.0062396, 0.0061644, 0.00607726, 0.00600652, 0.00595418, 0.00591238, 0.00584776, 0.00576758, 0.0056717, 0.00557549, 0.00549906, 0.00543882, 0.00536169, 0.00527014, 0.00515619, 0.00503391, 0.00491254, 0.00481171, 0.00471234, 0.00459875, 0.0044674, 0.00431852, 0.00417153, 0.00402941, 0.00390566, 0.00378064, 0.00363485, 0.0034796, 0.00331796, 0.00315968, 0.00301331, 0.00287833, 0.00273759, 0.0025798, 0.00242044, 0.00226168, 0.00211489, 0.00197835, 0.00184634, 0.0017097, 0.00156379, 0.001422, 0.00128784, 0.00116759, 0.00105451, 0.000939613, 0.000827795, 0.000721074, 0.000621182, 0.000532659, 0.000450822, 0.000378715, 0.000313586, 0.000254733, 0.000208838, 0.000171258, 0.000145291, 0.000124512, 0.00011158, 0.00010379, 9.94161e-05, 9.52322e-05, 9.60381e-05, 9.32918e-05]",
2024-12-20T16:12:40.046839-07:00,2024-12-20T16:12:40-07:00,,P-0000-01,"[-0.00925964, 0.171189, 0.350071, 0.528726, 0.706393, 0.88344, 1.06161, 1.23909, 1.41838, 1.59708, 1.77312, 1.9477, 2.12206, 2.29923, 2.47496, 2.64915, 2.82228, 2.99476, 3.16634, 3.33578, 3.50727, 3.67683, 3.8471, 4.01512, 4.17995, 4.34307, 4.50828, 4.67158, 4.83457, 4.99723, 5.15698, 5.31234, 5.46879, 5.6251, 5.77922, 5.93463, 6.08451, 6.23485, 6.3802, 6.5254, 6.67264, 6.81416, 6.95777, 7.0977, 7.23375, 7.36898, 7.50175, 7.63503, 7.76561, 7.89548, 8.0222, 8.14583, 8.26748, 8.38611, 8.50416, 8.62153, 8.73737, 8.84884, 8.95617, 9.06328, 9.1664, 9.27162, 9.37236, 9.47074, 9.5662, 9.65771, 9.74632, 9.83561, 9.92228, 10.0056, 10.088, 10.1624, 10.2352, 10.3088, 10.381, 10.4503, 10.5144, 10.5753, 10.6322, 10.6856, 10.7404, 10.7913, 10.8417, 10.8829, 10.9226, 10.9559, 10.9897, 11.0225, 11.0513, 11.0759, 11.0921, 11.1058, 11.1132, 11.1236, 11.1302, 11.1357, 11.1381, 11.1372, 11.1362, 11.1342]","[0.0105894, 0.0105378, 0.0104871, 0.0104273, 0.0103708, 0.0103289, 0.0102904, 0.0102533, 0.0102, 0.0101415, 0.010081, 0.0100223, 0.00997298, 0.00993588, 0.00988829, 0.00983163, 0.00976785, 0.00970248, 0.00964242, 0.00959754, 0.0095535, 0.00949931, 0.0094345, 0.00936709, 0.00929287, 0.00923554, 0.00918455, 0.00913464, 0.00907138, 0.00899977, 0.00892174, 0.00884371, 0.00877887, 0.00872026, 0.0086572, 0.00858094, 0.00849576, 0.00840779, 0.00831376, 0.00823716, 0.00815543, 0.00806546, 0.00795781, 0.00784195, 0.00771501, 0.00759219, 0.00747299, 0.00734913, 0.0072115, 0.00705509, 0.00689535, 0.00672587, 0.00656642, 0.00640457, 0.00624443, 0.00606247, 0.00587872, 0.00568408, 0.00549366, 0.0053041, 0.00512006, 0.00493469, 0.004733, 0.00452908, 0.00432124, 0.00411802, 0.00392679, 0.00373541, 0.00353935, 0.00333799, 0.00312945, 0.00293266, 0.00274316, 0.00256046, 0.00237695, 0.00219591, 0.0020093, 0.00183148, 0.0016624, 0.00150204, 0.0013523, 0.00120091, 0.00105554, 0.000920718, 0.00079212, 0.000677216, 0.000570217, 0.0004759, 0.000388082, 0.000314954, 0.000252342, 0.00020279, 0.000166753, 0.000140582, 0.00012329, 0.000111771, 0.00010539, 0.000101928, 0.000101024, 9.80739e-05]",
2024-12-20T16:12:50.045743-07:00,2024-12-20T16:12:50-07:00,,P-0000-01,"[-0.00938775, 0.169566, 0.349473, 0.528593, 0.706721, 0.884588, 1.06127, 1.23837, 1.41769, 1.59632, 1.77409, 1.94948, 2.12425, 2.29822, 2.47235, 2.64694, 2.82264, 2.99618, 3.1661, 3.33771, 3.50617, 3.67529, 3.8456, 4.01388, 4.18031, 4.34628, 4.50805, 4.67119, 4.83244, 4.99668, 5.15595, 5.31271, 5.46943, 5.62461, 5.77878, 5.93163, 6.08417, 6.2341, 6.38372, 6.52693, 6.66995, 6.81405, 6.95721, 7.09655, 7.23485, 7.37049, 7.5036, 7.63309, 7.76418, 7.89385, 8.02068, 8.14716, 8.26785, 8.38659, 8.50268, 8.62091, 8.73549, 8.8495, 8.95728, 9.06354, 9.16785, 9.2687, 9.37115, 9.46904, 9.56634, 9.6588, 9.74765, 9.83318, 9.91998, 10.0044, 10.0865, 10.1657, 10.2376, 10.3086, 10.378, 10.4464, 10.5138, 10.5762, 10.6329, 10.6873, 10.7378, 10.7892, 10.8391, 10.8825, 10.9232, 10.9585, 10.9908, 11.0198, 11.0486, 11.0735, 11.0931, 11.1064, 11.1142, 11.1214, 11.1261, 11.1322, 11.1351, 11.1359, 11.1356, 11.1344]","[0.0105709, 0.0105371, 0.0104889, 0.0104372, 0.0103782, 0.0103198, 0.0102756, 0.0102385, 0.0101961, 0.0101487, 0.0100872, 0.0100244, 0.00996486, 0.00991732, 0.00988022, 0.00983369, 0.00977675, 0.00970868, 0.00964374, 0.00958215, 0.00953585, 0.00949359, 0.00943772, 0.00937248, 0.0093026, 0.00923133, 0.00916625, 0.00911904, 0.00907131, 0.00900374, 0.0089324, 0.00885337, 0.00877189, 0.0087071, 0.00864474, 0.00858307, 0.00850207, 0.00841397, 0.00831728, 0.00822373, 0.00814039, 0.00805562, 0.00795954, 0.00784383, 0.00772375, 0.00758966, 0.00745872, 0.0073344, 0.00720401, 0.00705768, 0.00689894, 0.00673237, 0.00656039, 0.00639429, 0.00622853, 0.00605997, 0.00588445, 0.00568884, 0.00549183, 0.00529377, 0.0051075, 0.00492381, 0.00473102, 0.00453242, 0.00432357, 0.00411676, 0.00391469, 0.00372019, 0.00353387, 0.00333407, 0.00313344, 0.00293106, 0.00273649, 0.00254805, 0.00236859, 0.00219049, 0.00200905, 0.00183101, 0.00165832, 0.00149492, 0.00134362, 0.00119374, 0.00105381, 0.000917146, 0.000789355, 0.000670494, 0.000563889, 0.000468806, 0.00038449, 0.000311658, 0.00024888, 0.000200628, 0.000164987, 0.000138429, 0.000121755, 0.000111545, 0.000104566, 0.000101624, 9.96006e-05, 9.9933e-05]",
2024-12-20T16:13:00.045514-07:00,2024-12-20T16:13:00-07:00,,P-0000-01,"[-0.00969141, 0.169495, 0.349601, 0.52772, 0.705962, 0.885309, 1.06171, 1.23929, 1.41659, 1.59534, 1.77316, 1.94871, 2.12376, 2.29801, 2.47187, 2.64721, 2.82227, 2.99427, 3.16687, 3.33656, 3.50544, 3.67487, 3.84511, 4.01428, 4.18039, 4.34443, 4.50775, 4.66975, 4.83128, 4.99403, 5.15519, 5.31374, 5.46892, 5.62259, 5.7764, 5.9304, 6.08337, 6.23268, 6.38098, 6.5263, 6.6696, 6.81128, 6.9555, 7.09643, 7.23289, 7.36887, 7.50165, 7.63178, 7.76259, 7.89187, 8.01986, 8.14461, 8.26528, 8.38453, 8.50194, 8.61911, 8.73322, 8.84585, 8.95558, 9.06277, 9.16539, 9.26545, 9.36904, 9.46728, 9.56361, 9.6576, 9.74543, 9.83183, 9.91805, 10.0028, 10.0853, 10.1632, 10.2374, 10.307, 10.3761, 10.444, 10.5114, 10.5743, 10.632, 10.685, 10.7357, 10.7868, 10.8361, 10.8816, 10.9219, 10.9568, 10.9883, 11.0165, 11.0461, 11.0712, 11.0899, 11.1035, 11.1116, 11.1175, 11.1227, 11.1305, 11.1351, 11.1361, 11.1329, 11.1311]","[0.0105658, 0.0105309, 0.0104882, 0.0104393, 0.010382, 0.0103206, 0.0102709, 0.0102339, 0.0101943, 0.0101458, 0.0100868, 0.0100248, 0.00996482, 0.00991528, 0.00987538, 0.00983098, 0.00977439, 0.00971249, 0.00964306, 0.00957821, 0.00953043, 0.00948771, 0.00943451, 0.00937171, 0.00930265, 0.00923062, 0.00916392, 0.00911352, 0.00906213, 0.00900058, 0.00893113, 0.00885087, 0.00877269, 0.00869879, 0.00864068, 0.00857789, 0.00850008, 0.00841596, 0.00831809, 0.00822175, 0.00813426, 0.00805024, 0.00795725, 0.00784512, 0.00772544, 0.0075891, 0.00745466, 0.00732639, 0.0071972, 0.00705659, 0.00689981, 0.00673293, 0.0065584, 0.00638887, 0.00622465, 0.00605916, 0.00587888, 0.00569049, 0.00549121, 0.00529352, 0.00510381, 0.00492017, 0.00472758, 0.00453239, 0.00432441, 0.00411346, 0.00391466, 0.00371879, 0.00353023, 0.0033322, 0.00313288, 0.00293037, 0.00273411, 0.00254701, 0.00236266, 0.00219037, 0.00200884, 0.00183127, 0.00165961, 0.00149435, 0.00134124, 0.00119262, 0.00105414, 0.000916698, 0.000789018, 0.000671407, 0.0005646, 0.000469707, 0.000384681, 0.000312436, 0.000250498, 0.000202037, 0.000166072, 0.000139194, 0.000122345, 0.000110814, 0.000104859, 0.000100762, 0.000100147, 9.96273e-05]",
