measurement_time,scheduled_time,module_id,v,i,g,t_ext,status_integer
2024-12-20T16:06:22.033752-07:00,2024-12-20T16:06:22-07:00,P-0000-01,7.44383,0.00551706,,,1
2024-12-20T16:06:23.031547-07:00,2024-12-20T16:06:23-07:00,P-0000-01,7.42826,0.00552707,,,1
2024-12-20T16:06:24.032600-07:00,2024-12-20T16:06:24-07:00,P-0000-01,7.4223,0.00552972,,,1
2024-12-20T16:06:25.040407-07:00,2024-12-20T16:06:25-07:00,P-0000-01,7.40998,0.00553462,,,1
2024-12-20T16:06:26.033071-07:00,2024-12-20T16:06:26-07:00,P-0000-01,7.41168,0.0055323,,,1
2024-12-20T16:06:27.031952-07:00,2024-12-20T16:06:27-07:00,P-0000-01,7.42167,0.00552425,,,1
2024-12-20T16:06:28.033818-07:00,2024-12-20T16:06:28-07:00,P-0000-01,7.43438,0.005513,,,1
2024-12-20T16:06:29.034682-07:00,2024-12-20T16:06:29-07:00,P-0000-01,7.43884,0.00550819,,,1
2024-12-20T16:06:30.038657-07:00,2024-12-20T16:06:30-07:00,P-0000-01,7.4271,0.00551647,,,1
2024-12-20T16:06:31.041566-07:00,2024-12-20T16:06:31-07:00,P-0000-01,7.41542,0.00552138,,,1
2024-12-20T16:06:32.033632-07:00,2024-12-20T16:06:32-07:00,P-0000-01,7.40956,0.00552502,,,1
2024-12-20T16:06:33.026508-07:00,2024-12-20T16:06:33-07:00,P-0000-01,7.42878,0.00551054,,,1
2024-12-20T16:06:34.036000-07:00,2024-12-20T16:06:34-07:00,P-0000-01,7.4113,0.00552113,,,1
2024-12-20T16:06:35.035526-07:00,2024-12-20T16:06:35-07:00,P-0000-01,7.41123,0.00551937,,,1
2024-12-20T16:06:36.036631-07:00,2024-12-20T16:06:36-07:00,P-0000-01,7.39652,0.00552781,,,1
2024-12-20T16:06:37.038007-07:00,2024-12-20T16:06:37-07:00,P-0000-01,7.40031,0.00552093,,,1
2024-12-20T16:06:38.036548-07:00,2024-12-20T16:06:38-07:00,P-0000-01,7.41119,0.00551021,,,1
2024-12-20T16:06:39.038066-07:00,2024-12-20T16:06:39-07:00,P-0000-01,7.40304,0.00551391,,,1
2024-12-20T16:06:40.037460-07:00,2024-12-20T16:06:40-07:00,P-0000-01,7.39648,0.00551646,,,1
2024-12-20T16:06:41.179687-07:00,2024-12-20T16:06:41-07:00,P-0000-01,7.57379,0.00537654,,,1537
2024-12-20T16:06:42.025482-07:00,2024-12-20T16:06:42-07:00,P-0000-01,7.56863,0.0053761,,,1025
2024-12-20T16:06:43.039168-07:00,2024-12-20T16:06:43-07:00,P-0000-01,7.56492,0.00537739,,,1
2024-12-20T16:06:44.034009-07:00,2024-12-20T16:06:44-07:00,P-0000-01,7.54725,0.00538925,,,1
2024-12-20T16:06:45.026493-07:00,2024-12-20T16:06:45-07:00,P-0000-01,7.52939,0.00540012,,,1
2024-12-20T16:06:46.031737-07:00,2024-12-20T16:06:46-07:00,P-0000-01,7.52498,0.00540191,,,1
2024-12-20T16:06:47.027651-07:00,2024-12-20T16:06:47-07:00,P-0000-01,7.50436,0.0054141,,,1
2024-12-20T16:06:48.041267-07:00,2024-12-20T16:06:48-07:00,P-0000-01,7.50299,0.00541279,,,1
2024-12-20T16:06:49.036767-07:00,2024-12-20T16:06:49-07:00,P-0000-01,7.48858,0.00542181,,,1
2024-12-20T16:06:50.045003-07:00,2024-12-20T16:06:50-07:00,P-0000-01,7.47504,0.00542723,,,1
2024-12-20T16:06:51.198823-07:00,2024-12-20T16:06:51-07:00,P-0000-01,7.56513,0.00535331,,,1537
2024-12-20T16:06:52.029346-07:00,2024-12-20T16:06:52-07:00,P-0000-01,7.56731,0.00534911,,,1025
2024-12-20T16:06:53.028641-07:00,2024-12-20T16:06:53-07:00,P-0000-01,7.55181,0.00535982,,,1
2024-12-20T16:06:54.032852-07:00,2024-12-20T16:06:54-07:00,P-0000-01,7.53788,0.00536879,,,1
2024-12-20T16:06:55.025408-07:00,2024-12-20T16:06:55-07:00,P-0000-01,7.53395,0.00536856,,,1
2024-12-20T16:06:56.034083-07:00,2024-12-20T16:06:56-07:00,P-0000-01,7.53963,0.00536197,,,1
2024-12-20T16:06:57.029209-07:00,2024-12-20T16:06:57-07:00,P-0000-01,7.54476,0.00535495,,,1
2024-12-20T16:06:58.028289-07:00,2024-12-20T16:06:58-07:00,P-0000-01,7.53378,0.00536104,,,1
2024-12-20T16:06:59.032373-07:00,2024-12-20T16:06:59-07:00,P-0000-01,7.54359,0.00535247,,,1
2024-12-20T16:07:00.029097-07:00,2024-12-20T16:07:00-07:00,P-0000-01,7.52441,0.0053645,,,1
2024-12-20T16:07:01.172639-07:00,2024-12-20T16:07:01-07:00,P-0000-01,7.18634,0.00560946,,,1537
2024-12-20T16:07:02.033207-07:00,2024-12-20T16:07:02-07:00,P-0000-01,7.19561,0.00559992,,,1025
2024-12-20T16:07:03.034732-07:00,2024-12-20T16:07:03-07:00,P-0000-01,7.21031,0.00558713,,,1
2024-12-20T16:07:04.026879-07:00,2024-12-20T16:07:04-07:00,P-0000-01,7.20611,0.0055884,,,1
2024-12-20T16:07:05.029233-07:00,2024-12-20T16:07:05-07:00,P-0000-01,7.22529,0.00557364,,,1
2024-12-20T16:07:06.030851-07:00,2024-12-20T16:07:06-07:00,P-0000-01,7.23761,0.00556012,,,1
2024-12-20T16:07:07.033396-07:00,2024-12-20T16:07:07-07:00,P-0000-01,7.25196,0.0055488,,,1
2024-12-20T16:07:08.032809-07:00,2024-12-20T16:07:08-07:00,P-0000-01,7.25206,0.00554466,,,1
2024-12-20T16:07:09.040491-07:00,2024-12-20T16:07:09-07:00,P-0000-01,7.25637,0.00553951,,,1
2024-12-20T16:07:10.047879-07:00,2024-12-20T16:07:10-07:00,P-0000-01,7.27535,0.0055239,,,1
2024-12-20T16:07:11.202059-07:00,2024-12-20T16:07:11-07:00,P-0000-01,7.17679,0.00558913,,,1537
2024-12-20T16:07:12.031424-07:00,2024-12-20T16:07:12-07:00,P-0000-01,7.1893,0.00557747,,,1025
2024-12-20T16:07:13.028259-07:00,2024-12-20T16:07:13-07:00,P-0000-01,7.19215,0.00557298,,,1
2024-12-20T16:07:14.036167-07:00,2024-12-20T16:07:14-07:00,P-0000-01,7.2055,0.00556112,,,1
2024-12-20T16:07:15.032921-07:00,2024-12-20T16:07:15-07:00,P-0000-01,7.20459,0.00555752,,,1
2024-12-20T16:07:16.028562-07:00,2024-12-20T16:07:16-07:00,P-0000-01,7.21954,0.00554419,,,1
2024-12-20T16:07:17.029471-07:00,2024-12-20T16:07:17-07:00,P-0000-01,7.22158,0.00554033,,,1
