date_time,scheduled_time,module_name,mounted_on,v,i,status_integer,temperature_cell,axis_azimuth,axis_tilt,weather_id,weather_time,temperature_air,relative_humidity,dew_point,relative_pressure,wind_speed,wind_speed_std,wind_direction,wind_direction_std,irradiance
2026-05-19 16:32:50.0373+02,2026-05-19 16:32:50+02:00,My_solar_panel_1,Egis-tracker,-0.000299065,7.82978e-07,1,23.0469,180,30,,,,,,,,,,,
2026-05-19 16:33:00.028967+02,2026-05-19 16:33:00+02:00,My_solar_panel_1,Egis-tracker,-0.000304222,7.94032e-07,1,23.1016,180,30,,,,,,,,,,,
2026-05-19 16:33:10.029016+02,2026-05-19 16:33:10+02:00,My_solar_panel_1,Egis-tracker,-0.000312472,7.85687e-07,1,28.2266,180,30,,,,,,,,,,,
2026-05-19 16:33:20.030297+02,2026-05-19 16:33:20+02:00,My_solar_panel_1,Egis-tracker,-0.000306971,7.90782e-07,1,29.0469,180,30,,,,,,,,,,,
2026-05-19 16:33:30.029077+02,2026-05-19 16:33:30+02:00,My_solar_panel_1,Egis-tracker,-0.000302846,7.94648e-07,1,29.125,180,30,,,,,,,,,,,
2026-05-19 16:33:40.029273+02,2026-05-19 16:33:40+02:00,My_solar_panel_1,Egis-tracker,-0.000309723,7.76649e-07,1,27.5234,180,30,,,,,,,,,,,
2026-05-19 16:33:50.030152+02,2026-05-19 16:33:50+02:00,My_solar_panel_1,Egis-tracker,-0.000302846,7.80078e-07,1,26.1719,180,30,,,,,,,,,,,
2026-05-19 16:34:00.030537+02,2026-05-19 16:34:00+02:00,My_solar_panel_1,Egis-tracker,-0.00031316,7.98238e-07,1,25.5938,180,30,,,,,,,,,,,
2026-05-19 16:34:10.030446+02,2026-05-19 16:34:10+02:00,My_solar_panel_1,Egis-tracker,-0.00031144,7.99204e-07,1,25.1797,180,30,,,,,,,,,,,
2026-05-19 16:34:20.030946+02,2026-05-19 16:34:20+02:00,My_solar_panel_1,Egis-tracker,-0.000308347,7.87445e-07,1,24.9844,180,30,,,,,,,,,,,
2026-05-19 16:34:30.030555+02,2026-05-19 16:34:30+02:00,My_solar_panel_1,Egis-tracker,-0.00031144,7.88759e-07,1,24.7578,180,30,,,,,,,,,,,
2026-05-19 16:34:40.029183+02,2026-05-19 16:34:40+02:00,My_solar_panel_1,Egis-tracker,-0.000305598,7.93943e-07,1,24.6641,180,30,,,,,,,,,,,
2026-05-19 16:34:50.031654+02,2026-05-19 16:34:50+02:00,My_solar_panel_1,Egis-tracker,-0.000302846,8.05619e-07,1,24.4844,180,30,,,,,,,,,,,
2026-05-19 16:35:00.030836+02,2026-05-19 16:35:00+02:00,My_solar_panel_1,Egis-tracker,-0.000307659,7.84901e-07,1,24.4375,180,30,,,,,,,,,,,
2026-05-19 16:35:10.031594+02,2026-05-19 16:35:10+02:00,My_solar_panel_1,Egis-tracker,-0.000304222,7.90434e-07,1,24.3281,180,30,,,,,,,,,,,
2026-05-19 16:35:20.031809+02,2026-05-19 16:35:20+02:00,My_solar_panel_1,Egis-tracker,-0.000306627,7.84902e-07,1,24.3359,180,30,,,,,,,,,,,
2026-05-19 16:35:30.029691+02,2026-05-19 16:35:30+02:00,My_solar_panel_1,Egis-tracker,-0.000307315,7.80776e-07,1,24.1797,180,30,,,,,,,,,,,
2026-05-19 16:35:40.028322+02,2026-05-19 16:35:40+02:00,My_solar_panel_1,Egis-tracker,-0.000305254,7.81041e-07,1,24.1719,180,30,,,,,,,,,,,
2026-05-19 16:35:50.03148+02,2026-05-19 16:35:50+02:00,My_solar_panel_1,Egis-tracker,-0.000306971,7.82005e-07,1,24.1016,180,30,,,,,,,,,,,
2026-05-19 16:36:00.029971+02,2026-05-19 16:36:00+02:00,My_solar_panel_1,Egis-tracker,-0.000315564,7.8586e-07,1,24.0391,180,30,,,,,,,,,,,
2026-05-20 10:43:00.029205+02,2026-05-20 10:43:00+02:00,My_solar_panel_1,Egis-tracker,-0.000308691,7.94028e-07,1,21.5859,180,30,,,,,,,,,,,
2026-05-20 10:43:10.023674+02,2026-05-20 10:43:10+02:00,My_solar_panel_1,Egis-tracker,-0.000308347,8.06052e-07,1,21.6719,180,30,,,,,,,,,,,
2026-05-20 10:43:20.029251+02,2026-05-20 10:43:20+02:00,My_solar_panel_1,Egis-tracker,-0.000306627,7.86218e-07,1,21.5859,180,30,,,,,,,,,,,
2026-05-20 10:43:30.027826+02,2026-05-20 10:43:30+02:00,My_solar_panel_1,Egis-tracker,-0.000310063,7.85425e-07,1,21.6172,180,30,,,,,,,,,,,
2026-05-20 10:43:40.029685+02,2026-05-20 10:43:40+02:00,My_solar_panel_1,Egis-tracker,-0.000314532,8.01746e-07,1,21.5859,180,30,,,,,,,,,,,
2026-05-20 10:43:50.029985+02,2026-05-20 10:43:50+02:00,My_solar_panel_1,Egis-tracker,-0.000308003,8.04122e-07,1,21.6328,180,30,,,,,,,,,,,
2026-05-20 10:44:00.028505+02,2026-05-20 10:44:00+02:00,My_solar_panel_1,Egis-tracker,-0.000305254,7.98946e-07,1,21.6484,180,30,,,,,,,,,,,
2026-05-20 10:44:10.024538+02,2026-05-20 10:44:10+02:00,My_solar_panel_1,Egis-tracker,-0.000308347,7.92625e-07,1,21.6172,180,30,,,,,,,,,,,
2026-05-20 10:44:20.036464+02,2026-05-20 10:44:20+02:00,My_solar_panel_1,Egis-tracker,-0.000313504,8.028e-07,1,21.5859,180,30,,,,,,,,,,,
2026-05-20 10:44:30.024705+02,2026-05-20 10:44:30+02:00,My_solar_panel_1,Egis-tracker,-0.000316941,7.9367e-07,1,21.6719,180,30,,,,,,,,,,,
2026-05-20 10:44:40.025766+02,2026-05-20 10:44:40+02:00,My_solar_panel_1,Egis-tracker,-0.000305254,7.9921e-07,1,21.5859,180,30,,,,,,,,,,,
2026-05-20 10:44:50.026417+02,2026-05-20 10:44:50+02:00,My_solar_panel_1,Egis-tracker,-0.000317973,7.87964e-07,1,21.5625,180,30,,,,,,,,,,,
2026-05-20 10:45:00.026534+02,2026-05-20 10:45:00+02:00,My_solar_panel_1,Egis-tracker,-0.000306627,8.00612e-07,1,21.6563,180,30,,,,,,,,,,,
2026-05-20 10:45:10.026376+02,2026-05-20 10:45:10+02:00,My_solar_panel_1,Egis-tracker,-0.000312816,7.89548e-07,1,21.6094,180,30,,,,,,,,,,,
2026-05-20 10:45:20.026085+02,2026-05-20 10:45:20+02:00,My_solar_panel_1,Egis-tracker,-0.000306627,7.82796e-07,1,21.6328,180,30,,,,,,,,,,,
2026-05-20 10:45:30.026175+02,2026-05-20 10:45:30+02:00,My_solar_panel_1,Egis-tracker,-0.000305254,7.88589e-07,1,21.5781,180,30,,,,,,,,,,,
2026-05-20 10:45:40.027771+02,2026-05-20 10:45:40+02:00,My_solar_panel_1,Egis-tracker,-0.000312472,7.89899e-07,1,21.6172,180,30,,,,,,,,,,,
2026-05-20 10:45:50.024556+02,2026-05-20 10:45:50+02:00,My_solar_panel_1,Egis-tracker,-0.00030491,7.93593e-07,1,21.5781,180,30,,,,,,,,,,,
2026-05-20 10:46:00.029011+02,2026-05-20 10:46:00+02:00,My_solar_panel_1,Egis-tracker,-0.00030113,7.9895e-07,1,21.5781,180,30,,,,,,,,,,,
